transect_id,date,recorder,observer,exo,gh,species_ground,quad_5m,quad_15m,quad_25m,quad_35m,quad_45m,quad_55m,quad_65m,quad_75m,quad_85m,quad_95m,ave_cover,percent_g,percent_f,percent_s,percent_t,percent_e,pi,pi2,native_exotic_adv_n_e_a,native_exotic,c,growth_hab_abbr,wis,zero,percent_G,percent_F,percent_S,percent_T,percent_E,wwis,wc
AF2,8/5/2021,MS,JW,NA,NA,LD,10,10,10,5,10,10,20,15,5,15,11,0,0,0,0,0,x,x,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA
AF2,8/5/2021,MS,JW,NA,NA,BG,5,5,5,10,10,0,5,5,5,0,5,0,0,0,0,0,x,x,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA
AF2,8/5/2021,MS,JW,E,F,MELALB,15,5,20,10,0,10,0,15,10,10,9.5,0,9.5,0,0,9.5,4.28E-02,1.83E-03,E,E,*,F,4,0,0,9.5,0,0,9.5,38,NA
AF2,8/5/2021,MS,JW,NA,F,EQUxFE,25,10,0,0,0,0,0,0,0,0,3.5,0,3.5,0,0,0,1.58E-02,2.49E-04,N,N,4,F,2,0,0,3.5,0,0,0,7,NA
AF2,8/5/2021,MS,JW,NA,G,ELYCAN,10,5,15,15,0,15,10,10,10,15,10.5,10.5,0,0,0,0,4.73E-02,2.24E-03,N,N,5,G,4,0,10.5,0,0,0,0,42,NA
AF2,8/5/2021,MS,JW,NA,G,SORNUT,20,0,35,40,0,25,0,5,0,5,13,13,0,0,0,0,5.86E-02,3.43E-03,N,N,5,G,4,0,13,0,0,0,0,52,65
AF2,8/5/2021,MS,JW,NA,F,AGATEN,35,0,0,15,0,0,0,0,0,0,5,0,5,0,0,0,2.25E-02,5.07E-04,N,N,NA,F,3,0,0,5,0,0,0,15,NA
AF2,8/5/2021,MS,JW,NA,F,DESILL,35,5,40,20,0,20,20,20,5,0,16.5,0,16.5,0,0,0,7.43E-02,5.52E-03,N,N,5,F,4,0,0,16.5,0,0,0,66,82.5
AF2,8/5/2021,MS,JW,NA,F,SOLCAN,10,0,0,5,0,0,0,0,0,0,1.5,0,1.5,0,0,0,6.76E-03,4.57E-05,N,N,NA,F,4,0,0,1.5,0,0,0,6,NA
AF2,8/5/2021,MS,JW,E,G,SCHARU,15,0,0,0,0,0,0,0,0,0,1.5,1.5,0,0,0,1.5,6.76E-03,4.57E-05,E,E,NA,G,4,0,1.5,0,0,0,1.5,6,NA
AF2,8/5/2021,MS,JW,NA,F,ASTERI,5,0,0,0,0,15,0,0,0,0,2,0,2,0,0,0,9.01E-03,8.12E-05,N,N,NA,F,4,0,0,2,0,0,0,8,NA
AF2,8/5/2021,MS,JW,NA,G,Carex spp.,10,35,25,10,50,10,0,0,0,0,14,14,0,0,0,0,6.31E-02,3.98E-03,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA
AF2,8/5/2021,MS,JW,E,G,BROJAP,15,0,20,15,0,10,35,0,15,50,16,16,0,0,0,16,7.21E-02,5.19E-03,E,E,NA,G,0,0,16,0,0,0,16,0,NA
AF2,8/5/2021,MS,JW,E,F,MEDLUP,10,0,10,10,0,0,15,15,10,0,7,0,7,0,0,7,3.15E-02,9.94E-04,E,E,NA,F,4,0,0,7,0,0,7,28,NA
AF2,8/5/2021,MS,JW,NA,G,SPAPEC,15,65,20,0,10,25,5,0,0,0,14,14,0,0,0,0,6.31E-02,3.98E-03,N,N,5,G,2,0,14,0,0,0,0,28,70
AF2,8/5/2021,MS,JW,NA,G,ANDGER,5,0,25,20,0,20,10,35,0,15,13,13,0,0,0,0,5.86E-02,3.43E-03,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA
AF2,8/5/2021,MS,JW,NA,F,IVAANN,5,15,0,0,0,0,0,0,0,0,2,0,2,0,0,0,9.01E-03,8.12E-05,N,N,1,F,3,0,0,2,0,0,0,6,2
AF2,8/5/2021,MS,JW,NA,F,AMBTRI,5,0,0,0,0,0,40,50,90,65,25,0,25,0,0,0,0.112612613,1.27E-02,N,N,0,F,3,0,0,25,0,0,0,75,0
AF2,8/5/2021,MS,JW,NA,F,VERFAS,0,10,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4.50E-03,2.03E-05,N,N,NA,F,3,0,0,1,0,0,0,3,NA
AF2,8/5/2021,MS,JW,NA,G,CARBRE,0,20,0,0,0,0,0,0,0,0,2,2,0,0,0,0,9.01E-03,8.12E-05,N,N,4,G,3,0,2,0,0,0,0,6,8
AF2,8/5/2021,MS,JW,NA,G,Eleocharis spp.,0,15,35,5,5,5,0,0,0,0,6.5,6.5,0,0,0,0,2.93E-02,8.57E-04,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA
AF2,8/5/2021,MS,JW,NA,F,HELMAX,0,5,0,10,0,5,0,0,0,0,2,0,2,0,0,0,9.01E-03,8.12E-05,N,N,4,F,4,0,0,2,0,0,0,8,8
AF2,8/5/2021,MS,JW,NA,G,PANVIR,0,0,20,5,0,30,0,10,0,0,6.5,6.5,0,0,0,0,2.93E-02,8.57E-04,N,N,4,G,3,0,6.5,0,0,0,0,19.5,26
AF2,8/5/2021,MS,JW,NA,F,MONFIS,0,0,10,0,0,0,10,0,0,0,2,0,2,0,0,0,9.01E-03,8.12E-05,N,N,NA,F,5,0,0,2,0,0,0,10,NA
AF2,8/5/2021,MS,JW,NA,G,SCHSCO,0,0,10,0,0,0,15,0,0,0,2.5,2.5,0,0,0,0,1.13E-02,1.27E-04,N,N,NA,G,4,0,2.5,0,0,0,0,10,NA
AF2,8/5/2021,MS,JW,NA,F,HELTUB,0,0,15,0,0,0,15,10,0,0,4,0,4,0,0,0,1.80E-02,3.25E-04,N,N,4,F,4,0,0,4,0,0,0,16,16
AF2,8/5/2021,MS,JW,E,F,TAROFF,0,0,5,5,0,5,0,0,0,0,1.5,0,1.5,0,0,1.5,6.76E-03,4.57E-05,E,E,NA,F,4,0,0,1.5,0,0,1.5,6,NA
AF2,8/5/2021,MS,JW,NA,F,SILINT,0,0,5,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,2.25E-03,5.07E-06,N,N,NA,F,3,0,0,0.5,0,0,0,1.5,NA
AF2,8/5/2021,MS,JW,NA,F,OXADIL,0,0,5,0,0,0,5,5,5,0,2,0,2,0,0,0,9.01E-03,8.12E-05,N,N,0,F,4,0,0,2,0,0,0,8,0
AF2,8/5/2021,MS,JW,E,G,BROINE,0,0,5,15,0,0,0,35,5,0,6,6,0,0,0,6,2.70E-02,7.30E-04,E,B,NA,G,5,0,6,0,0,0,6,30,NA
AF2,8/5/2021,MS,JW,NA,F,SOLRIG,0,0,0,5,0,10,0,0,0,0,1.5,0,1.5,0,0,0,6.76E-03,4.57E-05,N,N,NA,F,4,0,0,1.5,0,0,0,6,NA
AF2,8/5/2021,MS,JW,NA,S,SALEXI,0,0,0,5,0,0,0,0,0,0,0.5,0,0,0.5,0,0,2.25E-03,5.07E-06,N,N,NA,S,2,0,0,0,0.5,0,0,1,NA
AF2,8/5/2021,MS,JW,NA,F,ASTPRA,0,0,0,10,0,0,0,0,0,0,1,0,1,0,0,0,4.50E-03,2.03E-05,N,N,NA,F,2,0,0,1,0,0,0,2,NA
AF2,8/5/2021,MS,JW,NA,F,AMBPSI,0,0,0,5,0,0,0,0,0,0,0.5,0,0.5,0,0,0,2.25E-03,5.07E-06,N,N,1,F,4,0,0,0.5,0,0,0,2,0.5
AF2,8/5/2021,MS,JW,NA,G,PHAARU,0,0,0,0,20,0,0,0,0,0,2,2,0,0,0,0,9.01E-03,8.12E-05,N,N,0,G,2,0,2,0,0,0,0,4,0
AF2,8/5/2021,MS,JW,E,G,PHRAUS,0,0,0,0,65,10,0,0,0,0,7.5,7.5,0,0,0,7.5,3.38E-02,1.14E-03,E,B*,NA,G,2,0,7.5,0,0,0,7.5,15,NA
AF2,8/5/2021,MS,JW,NA,G,LEEORY,0,0,0,0,15,0,0,0,0,0,1.5,1.5,0,0,0,0,6.76E-03,4.57E-05,N,N,4,G,1,0,1.5,0,0,0,0,1.5,6
AF2,8/5/2021,MS,JW,NA,F,ASCINC,0,0,0,0,5,0,0,0,0,0,0.5,0,0.5,0,0,0,2.25E-03,5.07E-06,N,N,NA,F,2,0,0,0.5,0,0,0,1,NA
AF2,8/5/2021,MS,JW,NA,G,DISSPI,0,0,0,0,0,35,0,0,0,0,3.5,3.5,0,0,0,0,1.58E-02,2.49E-04,N,N,3,G,2,0,3.5,0,0,0,0,7,10.5
AF2,8/5/2021,MS,JW,NA,F,CIRALT,0,0,0,0,0,5,0,0,0,0,0.5,0,0.5,0,0,0,2.25E-03,5.07E-06,N,N,1,F,0,0,0,0.5,0,0,0,0,0.5
AF2,8/5/2021,MS,JW,E,F,MELOFF,0,0,0,0,0,0,10,0,0,10,2,0,2,0,0,2,9.01E-03,8.12E-05,E,E,NA,F,4,0,0,2,0,0,2,8,NA
